No,Identifier,Name,Rules,PrasaYati,Yathi,Full Name,Reference
964,patitapaavana,పతితపావన,నభనభనభర,,"7,13","పతితపావన, మదనసాయక ",సునందినీ పరిణయము కో.శ్రీ మా.పట్వర్థన్
965,patimOhaa,పతిమోహా,స-భ-గా,,No,"పతిమోహా, మేఘము, సుభగ, ప్రకృతి, మణిచిత్రా ",1. వాగ్వల్లభ 2. మోడేకుర్తి కొక్కొండ మా.పట్వర్థన్
966,patiseeraa,పతిసీరా,మ-భ-గా,,No,"పతిసీరా, సరళ",వాగ్వల్లభ దుఃఖభంజన మా.పట్వర్థన్
967,pathikaaMtaa,పథికాంతా,భనజయ,,7,"పథికాంతా, మోహన",వాగ్వల్లభ కేశవ్ ఛంద
968,pathyaa,పథ్యా,సజసయవ,,10,"పథ్యా, మంజరీ, వసుధా, పథా, ప్రథిత",1. వాగ్వల్లభ 2. ఛం.సార మా.పట్వర్థన్ ఛందోనుశాసనం
969,paddaTikaa,పద్దటికా,సససజ,,7,"పద్దటికా, పంజటికా",కేశవ్ ఛంద
970,paddhari,పద్ధరి,యతల,,No,పద్ధరి,వాగ్వల్లభ దుఃఖభంజన
971,padma,పద్మ,నయజరజహ,,10,పద్మ,స.ఆ.ఋ.సం. 
972,padma-2,పద్మ 2,నసవ,,No,"పద్మ 2, వసన, కమల, లసదసు, మహి","ఛంప్ర. పే 125 కొక్కొండ 1. వా.వ. 2. వృ.మౌ.చం.. కేశవ్ ఛంద, భ.నా.శా."
973,padma-3,పద్మ 3,నభజజజగ,,11,"పద్మ 3, పద్మకము మంగళ ","200 మా.పట్వర్థన్ కవి. కావ్యా. లక్షణ. అనం. ""పద్మక"" -అప్పక. ""మంగళం""- నాగ."
974,padmakaM,పద్మకం,న-స-మ-త-త-గా,,10,"పద్మకం, పద్యకం, పద్యం, పద్మ",హేఛంశా 2.294 స్వ.భూఛం 1.32 మా.పట్వర్థన్
975,padmanaabhamu,పద్మనాభము,త-త-త-త-త-త-త-గా,,13,"పద్మనాభము, సర్వగామి",200 మా పట్వర్ధన్
976,padmamaala,పద్మమాల,ర-ర-గా,,No,పద్మమాల,మోడేకుర్తి
977,padmasadma,పద్మసద్మ,రసనజనభర,,12,పద్మసద్మ,జయకీర్తి 2-243
978,padmaavarta@h,పద్మావర్తః,మమమగ,,7,"పద్మావర్తః, గోపాలః, మాలీ, మయూరీ","1. ఛం.సార 2 వృ.మౌ.చం. ఛంప్ర. పే 133, వృత్త దర్పణ్ మా.పట్వర్థన్"
979,padmini,పద్మిని,భభభన,,7,పద్మిని,మోడేకుర్తి
980,padminee,పద్మినీ,రమయగ,,6,పద్మినీ ,మా.పట్వర్థన్
981,padyaa,పద్యా,జయగ,,No,పద్యా,వాగ్వల్లభ దుఃఖభంజన
982,parajaashi,పరజాషి,భసల,,No,పరజాషి,వాగ్వల్లభ దుఃఖభంజన
983,paradi,పరది,జనల,,No,"పరది, నవాంఋత లహరి",వాగ్వల్లభ మల్లాది సూ.శాస్త్రి
984,parabrahma,పరబ్రహ్మ,భ-న-త-న-జ-న-లల,,15,పరబ్రహ్మ,సఆంఋసం వగోకృ
985,parabhaanu,పరభాను,యసల,,No,పరభాను,వాగ్వల్లభ దుఃఖభంజన
986,paramaaNu,పరమాణు,ననననననననన,,16,పరమాణు ,సఆంఋసం వగోకృ
987,paramaeSa,పరమేశ,స-న-జ-భ-గా,,10,పరమేశ,200 కొక్కొండ
988,paraaMtachaaree,పరాంతచారీ,య-త-గా,,No,పరాంతచారీ,వాగ్వల్లభ దుఃఖభంజన
989,paraamOda@h,పరామోదః,యససజనమ,,10,పరామోదః,వాగ్వల్లభ దుఃఖభంజన
990,parikhaayatanaM,పరిఖాయతనం,సససభసగ,,10,"పరిఖాయతనం, పరిఖాపతనం",వాగ్వల్లభ దుఃఖభంజన
991,parichaaravatee,పరిచారవతీ,తభభగ,,5,పరిచారవతీ ,వాగ్వల్లభ దుఃఖభంజన
992,pariNaahee,పరిణాహీ,మ-భ-స-భ-గా,,8,పరిణాహీ,వాగ్వల్లభ దుఃఖభంజన
993,paritOshaa,పరితోషా,సనజయ,,5,పరితోషా,వాగ్వల్లభ  మా.పట్వర్థన్
994,paridhaaneeyaM,పరిధానీయం,న-న-భ-త-జ-య-స-గా,,"10,16",పరిధానీయం,వాగ్వల్లభ దుఃఖభంజన
995,paridhaaraa,పరిధారా,స-ర-గా,,No,పరిధారా,వాగ్వల్లభ దుఃఖభంజన
996,paridhi,పరిధి,రరనసతల,,13,పరిధి,సఆంఋసం వగోకృ
997,paripuMkhitaa,పరిపుంఖితా,రసజర,,6,పరిపుంఖితా,వాగ్వల్లభ 
998,paripOshaka-chakravara,పరిపోషక చక్రవర,సససససస,,9,పరిపోషక చక్రవర ,వాగ్వల్లభ దుఃఖభంజన మా.పట్వర్థన్
999,paribRDhaM,పరిబృఢం,నతతతగ,,9,"పరిబృఢం, పరివృఢం, ఊర్వశి, కౌముది ",వాగ్వల్లభ దుఃఖభంజన మా పట్వర్ధన్ ఛందోనుశాసనం
1000,parimaLaM,పరిమళం,నయనజయ,,10,పరిమళం,వాగ్వల్లభ దుఃఖభంజన
1001,parimitavijayaa,పరిమితవిజయా,ననరయ,,8,"పరిమితవిజయా, కామదత్తా, భోగినీ ",1. వా.వ. 2.  వృ.మౌ.చం. మా.పట్వర్థన్ భ.నా.శా.
1002,parimiti,పరిమితి,నజజజజభజయ,,"8,14",పరిమితి ,మా.పట్వర్థన్
1003,parilaekha@h,పరిలేఖః,జజజయ,,9,"పరిలేఖః, ధారీ, ధారీ, గోపాల","1 వా.వ. 2 ఛం.సార, కేశవ్, ఛంప్ర. "
1004,pareevaaha@h,పరీవాహః,న-త-త-త-గా,,9,పరీవాహః,వాగ్వల్లభ దుఃఖభంజన
1005,pallavari,పల్లవరి,భభభభర,,7,పల్లవరి,రణపింగళ
1006,pallavaleelaa,పల్లవలీలా,భతననల,,6,పల్లవలీలా ,మా.పట్వర్థన్
1007,pallavee-vilaasa,పల్లవీ విలాస,ర-య-య-గా,,7,పల్లవీ విలాస,వాగ్వల్లభ దుఃఖభంజన
1008,pavana,పవన,భతనస,,6,"పవన, లలితమ్, లలనా 2, సురలలనా ",1.ఛం.సార 2 వృ.మౌ.చం. 3.వృ.ర.నా టీక మా.పట్వర్థన్
1009,pavana@h,పవనః,భ-స-స-జ-గా,,8,పవనః ,ఛందస్కలావతీ
1010,pavanaSree,పవనశ్రీ,స-జ-న-న-స-య-లల,,12,పవనశ్రీ,సఆంఋసం వగోకృ
1011,paaMchajanyamu,పాంచజన్యము,రజననననగ,,10,పాంచజన్యము,మోడేకుర్తి
1012,paaMchaalaaMghri@h,పాంచాలాంఘ్రిః,న-య-గా,,No,"పాంచాలాంఘ్రిః, పంచాస్యాంఘ్రిః",వాగ్వల్లభ దుఃఖభంజన
1013,paaMDuteerdha,పాండుతీర్ధ,రరతతననర,,10,"పాండుతీర్ధ, పాండుతీర్ధము ",శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
1014,paakulee,పాకులీ,భజ,,No,"పాకులీ, నందకులచంద్ర",వాగ్వల్లభ మా.పట్వర్థన్
1015,paaTeera,పాటీర,సననసగ,,7,పాటీర,పింగళ ప్రకాశ
1016,paaNibaMdha,పాణిబంధ,రజయజభగ,,9,పాణిబంధ,మా పట్వర్ధన్
1017,paaNee,పాణీ,నరభజరగ,,10,పాణీ,రణపింగళ
1018,paathOleelaa,పాథోలీలా,మరజయమర,,10,పాథోలీలా ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
1019,paapaapahaari,పాపాపహారి,సరయయభరస,,14,పాపాపహారి ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
1020,paarasari,పారసరి,భభల,,No,పారసరి,వాగ్వల్లభ దుఃఖభంజన
1021,paaraavata@h,పారావతః,తతతతగ,,6,పారావతః,వాగ్వల్లభ దుఃఖభంజన
1022,paaraavaara@h,పారావారః,త-న-న-య-గా,,9,పారావారః,వాగ్వల్లభ దుఃఖభంజన
1023,paaraavaaraaMtasthaM,పారావారాంతస్థం,మమమసభసతవ,,13,పారావారాంతస్థం,వాగ్వల్లభ దుఃఖభంజన
1024,paarthivaM,పార్థివం,జసజసనర,,13,పార్థివం,వాగ్వల్లభ దుఃఖభంజన
1025,paarshatasaraNaM,పార్షతసరణం,భనయమనననయ,,13,పార్షతసరణం,వాగ్వల్లభ దుఃఖభంజన
1026,paalaaSadalamu,పాలాశదలము,న-న-న-న-న-గా,,11,"పాలాశదలము, త్వరితగతి, వసుధారా ",200 HCS 2.296
1027,paavaka,పావక,భమభగ,,7,పావక,ఛం.సార ఛంప్ర. మా.పట్వర్థన్
1028,paavana,పావన,భనజజస,,9,పావన,ఛం.సార
1029,pikaalikaa,పికాలికా,భజజర,,6,"పికాలికా, పిధాయినీ",వాగ్వల్లభ 
1030,pichulam^,పిచులమ్,ససజహ,,7,పిచులమ్,వాగ్వల్లభ దుఃఖభంజన
1031,pinaakee,పినాకీ,యరతమయ,,10,పినాకీ ,మా.పట్వర్థన్
1032,pipileeka,పిపిలీక,మమతరజభర,,"9,15",పిపిలీక,మా.పట్వర్థన్
1033,pipileekaakaMbha,పిపిలీకాకంభ,మమతనసజరసవ,,"9,20",పిపిలీకాకంభ,మా.పట్వర్థన్
1034,peenaSrONi,పీనశ్రోణి,మ-భ-స-గా,,7,పీనశ్రోణి ,భ.నా.శా.
1035,puMDareeka,పుండరీక,మభరయ,,7,పుండరీక ,ఛందోనుశాసనం
1036,puTabhaeda,పుటభేద,రసససససవ,,13,"పుటభేద, పుటభేదక",జయకీర్తి 2-237
1037,puTamardi,పుటమర్ది,నజ,,No,పుటమర్ది,వాగ్వల్లభ దుఃఖభంజన
1038,punnaaga,పున్నాగ,భరనమయవ,,11,పున్నాగ,"శ్రీకృష్ణ భాగవతం, శ్రీపాద.కృ.శా."
1039,puraTi,పురటి,నజగ,,No,పురటి,వాగ్వల్లభ దుఃఖభంజన
1040,puraaLi,పురాళి,నతభయవ,,7,పురాళి,రణపింగళ
1041,purusha,పురుష,భరనభనన,,8,పురుష,సఆంఋసం వగోకృ
1042,purushOttama,పురుషోత్తమ,ససభ,,No,పురుషోత్తమ,మా పట్వర్ధన్
1043,purOhitaa,పురోహితా,జరగ,,No,పురోహితా,వాగ్వల్లభ దుఃఖభంజన
1044,pulakaaMchitaM,పులకాంచితం,భ-స-న-య-న-న-భ-గా,,"7,16",పులకాంచితం,వాగ్వల్లభ దుఃఖభంజన
1045,pushkara,పుష్కర,యసజతభగ,,9,పుష్కర ,సఆంఋసం వగోకృ
1046,pushpadaama,పుష్పదామ,మతనసరరగ,,13,"పుష్పదామ, ఫుల్లదామ, పుష్పరామ","వావ, హేమచంద్ర, 2.327, స్వయంభూ 1-48, వృరక జయదామన్ 3-96 మా.పట్వర్థన్"
1047,pushpamaalaa,పుష్పమాలా,ననరరగ,,9,"పుష్పమాలా, ప్రమోదః",ఛం.సార / వా.వ
1048,pushpaSakaTikaa,పుష్పశకటికా,భ-స-త-త-గా,,8,"పుష్పశకటికా, లక్ష్మీవృత్తం",వాగ్వల్లభ / ఛం.శా. 
1049,pushpasamRddhaa,పుష్పసమృద్ధా,భ-మ-న-భ-న-న-న-గా,,13,పుష్పసమృద్ధా ,భ.నా.శా.
1050,pushpahaara-vanaja,పుష్పహార వనజ,రసస,,No,పుష్పహార వనజ ,"సునందినీ పరిణయము, కుశలవ కో.శ్రీ మా.పట్వర్థన్"
1051,pushpaa,పుష్పా,తమయయ,,7,పుష్పా ,ఛందస్కలావతీ
1052,poorNaa,పూర్ణా,తజగ,,No,పూర్ణా,వాగ్వల్లభ దుఃఖభంజన
1053,pRthvi,పృథ్వి,జసజసయవ,,12,"పృథ్వి, ధృతి, విలంబితగతి","200, అప్పకవి, భ.నా.శా , కొక్కొండ మా.పట్వర్థన్"
1054,pRthveetilaka,పృథ్వీతిలక,జసజనసయ,,13,"పృథ్వీతిలక, యతి, పభీత్రిణి",బృపింగళ Page 263
1055,pRdhvi,పృధ్వి,ననజవ,,8,"పృధ్వి, పృథివి ",200 మోడేకుర్తి (పృథ్వీ అప్పకవి)
1056,pRshadvatee,పృషద్వతీ,తరరజగ,,7,"పృషద్వతీ, విస్తుషా",వాగ్వల్లభ దుఃఖభంజన
1057,pOlaa,పోలా,నమగ,,No,పోలా ,వాగ్వల్లభ దుఃఖభంజన
1058,pautha,పౌథ,నననభనరస,,12,పౌథ ,సఆంఋసం వగోకృ
1059,prakaaSa,ప్రకాశ,న-స-స-జ-న-భ-లల,,11,ప్రకాశ,సఆంఋసం వగోకృ
1060,prakRti,ప్రకృతి,భ-భ-న-న-ర-య-లల,,10,ప్రకృతి,సఆంఋసం వగోకృ
1061,prakRti-vRttamu,ప్రకృతి వృత్తము,నరభరజహ,,10,ప్రకృతి వృత్తము,సఆంఋసం వగోకృ
1062,pragati,ప్రగతి,జరనల,,6,ప్రగతి ,సఆంఋసం వగోకృ
1063,praguNa,ప్రగుణ,స-గా,,No,ప్రగుణ ,మోడేకుర్తి 
1064,praguNeekRtaa,ప్రగుణీకృతా,నభభభర,,10,ప్రగుణీకృతా ,మా.పట్వర్థన్
1065,prajaaLi,ప్రజాళి,జసజసభభభ,,10,ప్రజాళి,సఆంఋసం వగోకృ
1066,praj~naa,ప్రజ్ఞా,నయమమభమ,,11,ప్రజ్ఞా,ఛం.సార ఛంప్ర. 
1067,praj~naamoolam^,ప్రజ్ఞామూలమ్,మభనయగ,,9,"ప్రజ్ఞామూలమ్, భద్రా","వాగ్వల్లభ , జానాశ్రయ ఛందోవిచితి 4-66, హరవిజయ రాజానక "
1068,pratari,ప్రతరి,రన,,No,"ప్రతరి, దరధ్వని తాళము",వాగ్వల్లభ అప్పక.
1069,pratardi,ప్రతర్ది,జరల,,No,ప్రతర్ది,వాగ్వల్లభ దుఃఖభంజన
1070,pratibha,ప్రతిభ,రమనసజరగ,,10,ప్రతిభ,ఛందస్కలావతీ
1071,pratibhaa,ప్రతిభా,తతరర,,7,ప్రతిభా,సఆంఋసం వగోకృ
1072,pratibhaadarSanaM,ప్రతిభాదర్శనం,స-భ-త-న-గా,,9,"ప్రతిభాదర్శనం, ప్రతిభా",1. వాగ్వల్లభ 2. ఛం.సార ఛంప్ర. 
1073,pratimaa,ప్రతిమా,ససససససస,,13,ప్రతిమా,వాగ్వల్లభ దుఃఖభంజన
1074,prateepavallee,ప్రతీపవల్లీ,ససభరయగ,,10,ప్రతీపవల్లీ,వాగ్వల్లభ దుఃఖభంజన
1075,prateehaara@h,ప్రతీహారః,రరరరరహ,,10,ప్రతీహారః,వాగ్వల్లభ దుఃఖభంజన
1076,prapaMcha-chaamaraM,ప్రపంచ చామరం,ననరజరజగ,,12,"ప్రపంచ చామరం, పంచచామరః",1. వాగ్వల్లభ 2. శ.క.ద్రు
1077,prapannapaaneeyaM,ప్రపన్నపానీయం,త-య-త-ర-గా,,9,ప్రపన్నపానీయం,వాగ్వల్లభ దుఃఖభంజన
1078,prapaata@h,ప్రపాతః,యయయయవ,,7,ప్రపాతః,వాగ్వల్లభ దుఃఖభంజన
1079,prapaataavataaraM,ప్రపాతావతారం,యయరవ,,7,ప్రపాతావతారం,వాగ్వల్లభ దుఃఖభంజన
1080,praphulla-kadaLee,ప్రఫుల్ల కదళీ,జ-స-మ-గా,,8,ప్రఫుల్ల కదళీ,వాగ్వల్లభ దుఃఖభంజన
1081,prabhaakalita,ప్రభాకలిత,నజజభరసవ,,13,ప్రభాకలిత,మోడేకుర్తి
1082,prabhaakalita-1,ప్రభాకలిత 1,నజజభరజగ,,13,ప్రభాకలిత 1,కొక్కొండ
1083,prabhaata,ప్రభాత,నననర,,8,"ప్రభాత, ప్రభా, శ్రవణప్రియ","మోడేకుర్తి, ఛందోనుశాసనము పింగళప్రకాశ్"
1084,prabhaatamu,ప్రభాతము,నజజరగ,,8,"ప్రభాతము, మృగేంద్రముఖ, హరిముఖ",200 1. వా.వ. 2. ఛం.సా. 3. శ.క.ద్రు. భిఖారీదాస్
1085,prabhaatika,ప్రభాతిక,జవవ,,No,ప్రభాతిక,ఛందః ప్రదీప
1086,prabhaava,ప్రభావ,భనజనజనహ,,11,ప్రభావ,సఆంఋసం వగోకృ
1087,prabhaavati,ప్రభావతి,తతసజగ,,5,ప్రభావతి,వృరక జయదామన్
1088,prabhaavati-2,ప్రభావతి 2,తభరజగ,,5,ప్రభావతి 2,వృర జయ 3-70.3 
1089,prabhaavatee-1,ప్రభావతీ 1,తభసజగ,,10,"ప్రభావతీ 1, లక్ష్మీ",1.వా.వ.2.వృ.మౌ.చం. మా.పట్వర్థన్( 7)
1090,prabhaaSree,ప్రభాశ్రీ,నభసనభతల,,11,"ప్రభాశ్రీ, హరిదశ్వ ",సఆంఋసం వగోకృ
1091,prabhu,ప్రభు,నననజజజజజవ,,"9,15,21",ప్రభు,200
1092,pramadaa,ప్రమదా,సతయసభగ,,8,ప్రమదా,మందార మరంద చంపూ 18-15/ రణపింగళ
1093,pramadvara,ప్రమద్వర,తరతర,,7,ప్రమద్వర ,మా పట్వర్ధన్
1094,pramaaNikaa,ప్రమాణికా,జరవ,,No,"ప్రమాణికా, నగస్వరూపిణీ, ప్రమాణి ,మతచేష్టిత ",1. .వా.వ  2. శ.క.ద్రు. 3. కవి కావ్యా. అనం. లక్షణ. అప్పక. భ.నా.శా.
